order_id,user_id,product_id,quantity,amount,order_time
1,403,95,2,2127.54,2025-08-13
2,4710,146,4,18883.96,2025-08-02
3,2671,103,3,12791.55,2025-02-21
4,1802,183,5,9748.4,2025-01-31
5,2651,50,5,10353.5,2024-04-19
6,177,125,1,3067.05,2026-05-08
7,4545,86,5,1002.35,2025-12-16
8,743,149,1,2794.84,2026-02-03
9,2349,162,4,5811.28,2025-03-15
10,4403,40,4,1172.72,2026-05-08
11,751,119,3,10110.78,2024-06-11
12,869,111,4,18019.68,2024-05-20
13,4063,30,3,9050.79,2025-01-24
14,3968,198,2,4193.62,2024-09-02
15,214,117,1,3868.85,2025-10-24
16,1618,25,2,1420.48,2025-08-08
17,2531,197,3,13740.36,2024-07-10
18,3334,29,5,8822.5,2025-11-21
19,1598,67,1,1694.93,2025-05-13
20,512,185,2,7132.84,2025-10-11
21,253,47,2,550.94,2025-03-02
22,4134,105,2,2952.68,2025-04-17
23,629,145,4,14416.52,2026-05-28
24,3477,177,5,18944.65,2025-02-11
25,987,109,2,1706.08,2025-07-20
26,1726,50,2,4141.4,2026-06-20
27,2094,90,2,9289.34,2026-02-07
28,1702,133,5,16884.6,2025-03-03
29,305,13,2,7775.62,2026-01-30
30,4079,191,1,3356.27,2025-02-15
31,2281,39,4,2003.48,2025-12-21
32,4341,196,4,15344.0,2024-04-06
33,2808,173,2,9417.28,2026-04-30
34,2887,17,5,17881.75,2025-04-19
35,3455,187,5,1338.3,2025-01-29
36,1025,99,3,10878.54,2025-02-17
37,4313,80,3,11871.6,2026-05-05
38,2976,59,1,1990.55,2024-12-24
39,507,96,1,1886.77,2026-06-26
40,4857,122,5,21594.5,2025-07-10
41,2952,136,1,4182.25,2026-05-23
42,1054,30,3,9050.79,2025-02-18
43,2675,131,5,4695.95,2025-07-28
44,2568,145,3,10812.39,2024-06-02
45,1905,123,2,8557.26,2025-12-23
46,4371,51,2,2811.04,2026-01-24
47,4588,152,1,3228.54,2025-11-22
48,4923,80,3,11871.6,2025-06-12
49,2895,192,5,10878.1,2025-06-07
50,1101,74,5,6995.55,2025-03-06
51,3662,123,1,4278.63,2026-04-02
52,1637,111,3,13514.76,2026-04-30
53,1456,199,1,2146.75,2024-07-31
54,3614,112,5,17282.3,2025-08-18
55,39,177,2,7577.86,2025-12-25
56,3085,20,3,748.14,2024-08-14
57,4240,29,1,1764.5,2025-12-23
58,2732,10,2,6124.2,2025-10-25
59,2416,9,4,18914.76,2025-06-22
60,759,199,3,6440.25,2025-01-22
61,4343,108,5,14189.15,2025-08-10
62,3117,63,5,16255.15,2026-02-02
63,765,33,4,14409.4,2025-03-29
64,2423,152,3,9685.62,2025-12-17
65,1315,80,1,3957.2,2026-05-06
66,4303,32,3,2630.58,2026-05-20
67,3996,4,3,4202.82,2025-10-19
68,4030,190,4,8758.08,2025-02-16
69,3694,78,5,18419.6,2025-08-31
70,3186,126,2,3741.54,2026-03-04
71,2867,119,5,16851.3,2025-09-30
72,1318,22,3,6183.9,2026-05-03
73,701,151,5,24430.05,2025-04-23
74,4384,26,4,13161.52,2025-12-30
75,2202,49,2,5357.98,2024-10-06
76,1594,172,2,4931.8,2025-10-02
77,3988,150,1,3021.08,2024-07-30
78,4946,108,5,14189.15,2026-03-08
79,4146,195,5,10185.75,2025-02-10
80,1231,170,4,16737.88,2025-06-22
81,2613,52,5,3500.25,2025-04-16
82,3138,145,4,14416.52,2026-06-05
83,1909,142,1,2454.81,2026-01-26
84,1791,64,3,14299.14,2026-02-24
85,2929,173,5,23543.2,2026-01-19
86,1089,192,3,6526.86,2026-05-03
87,2382,158,1,3372.95,2025-10-02
88,4128,141,5,5416.45,2024-10-26
89,4964,154,5,18164.1,2024-05-28
90,2946,160,3,1496.34,2025-02-17
91,3570,174,1,1174.39,2025-12-17
92,1166,51,1,1405.52,2025-01-14
93,601,34,3,11361.42,2025-12-23
94,2026,108,3,8513.49,2024-10-21
95,1585,116,5,5600.65,2024-12-18
96,988,28,1,4941.61,2026-05-11
97,1966,19,2,7158.98,2025-03-30
98,1440,176,1,3051.97,2025-08-04
99,4616,98,5,699.4,2024-05-30
100,869,72,3,11010.48,2024-06-21
101,2064,162,5,7264.1,2025-04-26
102,1130,106,2,3307.36,2025-02-05
103,4379,144,1,4224.5,2025-11-21
104,4457,71,2,8280.06,2025-09-26
105,3730,27,1,4021.33,2025-02-05
106,1935,51,5,7027.6,2025-05-10
107,1077,84,2,6452.04,2025-12-20
108,1640,54,5,24904.6,2025-06-07
109,1393,123,5,21393.15,2024-10-11
110,31,17,5,17881.75,2025-09-30
111,704,72,2,7340.32,2025-05-12
112,869,196,1,3836.0,2025-07-09
113,233,114,5,19233.55,2026-05-24
114,951,95,5,5318.85,2025-02-26
115,59,129,3,4751.13,2025-10-24
116,2819,105,3,4429.02,2025-08-23
117,3601,14,2,5786.84,2025-10-17
118,3150,135,4,6630.08,2024-01-03
119,302,64,5,23831.9,2026-03-26
120,2851,200,2,7056.0,2026-05-28
121,2945,136,1,4182.25,2026-06-12
122,1924,182,2,345.62,2025-10-30
123,317,152,5,16142.7,2025-09-20
124,1889,183,1,1949.68,2024-05-18
125,2716,129,3,4751.13,2025-02-24
126,4786,200,5,17640.0,2025-01-15
127,1882,69,3,4820.58,2024-08-17
128,3899,32,5,4384.3,2026-05-24
129,4114,1,1,2372.37,2025-08-29
130,1179,194,5,1874.3,2025-10-26
131,3856,170,5,20922.35,2025-09-28
132,4874,137,2,7641.88,2024-08-08
133,4456,74,4,5596.44,2025-11-14
134,332,152,2,6457.08,2026-04-07
135,528,105,4,5905.36,2025-03-01
136,2060,114,4,15386.84,2026-01-22
137,1099,147,1,3482.66,2025-10-19
138,212,51,5,7027.6,2026-02-18
139,1715,81,3,8055.12,2026-03-20
140,2689,2,5,20820.4,2026-04-16
141,2331,10,4,12248.4,2025-12-16
142,3267,197,4,18320.48,2025-07-17
143,1033,103,1,4263.85,2024-09-17
144,1333,134,2,2596.74,2025-03-02
145,1841,190,4,8758.08,2025-04-23
146,4687,66,4,992.24,2025-08-16
147,2139,8,2,8007.84,2025-06-06
148,4552,68,3,7137.6,2025-03-16
149,4092,187,2,535.32,2025-11-23
150,444,50,2,4141.4,2025-08-06
151,4175,95,2,2127.54,2025-10-28
152,1499,36,4,17252.72,2026-02-07
153,927,136,3,12546.75,2026-01-31
154,623,95,1,1063.77,2026-02-16
155,1480,145,1,3604.13,2024-10-01
156,3038,187,1,267.66,2025-02-06
157,3386,78,5,18419.6,2024-06-24
158,3319,136,5,20911.25,2024-01-07
159,234,122,1,4318.9,2025-07-01
160,1618,89,3,13167.6,2026-06-27
161,2692,43,2,5370.24,2025-09-16
